State,has_death_penalty,abolished
Alabama,1,
Alaska,0,1957
Arizona,1,
Arkansas,1,
California,1,
Colorado,0,2020
Connecticut,0,2012
Delaware,0,2016
Florida,1,
Georgia,1,
Hawaii,0,1957
Idaho,1,
Illinois,0,2011
Indiana,1,
Iowa,0,1965
Kansas,1,
Kentucky,1,
Louisiana,1,
Maine,0,1887
Maryland,0,2013
Massachusetts,0,1984
Michigan,0,1847
Minnesota,0,1911
Mississippi,1,
Missouri,1,
Montana,1,
Nebraska,1,
Nevada,1,
New Hampshire,0,2019
New Jersey,0,2007
New Mexico,0,2009
New York,0,2007
North Carolina,1,
North Dakota,0,1973
Ohio,1,
Oklahoma,1,
Oregon,1,
Pennsylvania,1,
Rhode Island,0,1984
South Carolina,1,
South Dakota,1,
Tennessee,1,
Texas,1,
Utah,1,
Vermont,0,1972
Virginia,0,2021
Washington,0,2023
West Virginia,0,2965
Wisconsin,0,1853
Wyoming,1,