State,total_children_population,children_in_foster_care,licensed_foster_homes,foster_children_per_capita
Alabama,"1,111,562","5,260","2,340",4.732079722
Alaska,"176,523","2,690","1,190",15.23880741
Arizona,"1,589,010","12,358","2,936",7.777169433
Arkansas,"697,119","3,952","1,668",5.669046461
California,"8,506,027","45,924","37,870",5.398995324
Colorado,"1,215,575","4,133","1,846",3.40003702
Connecticut,"731,030","3,295","2,644",4.50733896
Delaware,"208,127",548,397,2.633007731
Florida,"4,296,354","22,493","9,202",5.235369339
Georgia,"2,510,123","10,838","4,744",4.317716702
Hawaii,"297,326","1,340","1,158",4.506837613
Idaho,"463,404","1,548","1,200",3.340497708
Illinois,"2,720,131","20,743","8,690",7.625735672
Indiana,"1,569,923","11,457","4,897",7.297810147
Iowa,"724,489","4,048","2,306",5.58738642
Kansas,"690,832","6,808","2,436",9.854783797
Kentucky,"1,004,575","7,905","5,434",7.868999328
Louisiana,"1,061,693","3,682","1,777",3.468045848
Maine,"247,898","2,429","1,806",9.79838482
Maryland,"1,346,589","3,609","2,018",2.680105065
Massachusetts,"1,337,434","8,824","5,519",6.597708747
Michigan,"2,109,695","8,940","5,109",4.237579366
Minnesota,"1,294,162","6,133","4,177",4.738973946
Mississippi,"678,061","3,825","1,839",5.641085389
Missouri,"1,364,908","12,514","5,007",9.16838351
Montana,"233,753","2,672","1,298",11.43086934
Nebraska,"476,677","3,873","1,649",8.124998689
Nevada,"689,778","4,047","1,183",5.867105069
New Hampshire,"252,924","1,181",614,4.669386851
New Jersey,"1,994,109","2,786","2,964",1.397115203
New Mexico,"459,513","1,800","1,116",3.917190591
New York,"3,989,288","14,134","10,925",3.542988122
North Carolina,"2,294,879","11,258","5,436",4.905705268
North Dakota,"182,775","1,547","1,036",8.463958419
Ohio,"2,562,550","14,946","7,639",5.832471562
Oklahoma,"953,146","7,013","4,560",7.357739528
Oregon,"836,988","4,826","3,244",5.765913012
Pennsylvania,"2,624,465","12,465","12,880",4.74953943
Rhode Island,"203,912","1,723","1,001",8.44972341
South Carolina,"1,117,872","3,793","1,181",3.393053945
South Dakota,"219,165","1,615",822,7.36887733
Tennessee,"1,538,137","9,053","4,986",5.885691587
Texas,"7,456,338","21,358","10,424",2.864408775
Utah,"931,608","2,067","1,314",2.218744365
Vermont,"114,757","1,096","1,094",9.550615649
Virginia,"1,866,910","5,039","2,503",2.699112437
Washington,"1,646,573","8,049","4,552",4.888334741
West Virginia,"351,922","6,952","3,286",19.75437739
Wisconsin,"1,245,629","6,622","4,028",5.316189652
Wyoming,"130,114",756,471,5.810289438